time	ball_x_pix	ball_color	move_direct	trial	hit	hand
6.42298849998042	-210.05240478515623	"""yellow"""	"""left"""	0	False	right
6.442471600021236	-225.9945556640625	"""yellow"""	"""left"""	0	False	right
6.456359099945985	-233.56305541992185	"""yellow"""	"""left"""	0	False	right
6.474388599977829	-248.12215576171877	"""yellow"""	"""left"""	0	False	right
6.4927117000333965	-256.0811462402344	"""yellow"""	"""left"""	0	False	right
6.508445799932815	-272.88251953125	"""yellow"""	"""left"""	0	False	right
6.5249567000428215	-281.70018310546874	"""yellow"""	"""left"""	0	False	right
6.5399614999769256	-290.79979248046874	"""yellow"""	"""left"""	0	False	right
6.55882090004161	-310.72353515625	"""yellow"""	"""left"""	0	False	right
6.576103299972601	-331.5391479492187	"""yellow"""	"""left"""	0	False	right
6.589781099930406	-341.1788818359375	"""yellow"""	"""left"""	0	False	right
6.606996599934064	-351.0873779296875	"""yellow"""	"""left"""	0	False	right
6.623645199928433	-370.16176757812497	"""yellow"""	"""left"""	0	False	right
6.640296099940315	-380.12893066406247	"""yellow"""	"""left"""	0	False	right
6.656860199989751	-400.5402099609375	"""yellow"""	"""left"""	0	False	right
6.673566299956292	-411.2723876953125	"""yellow"""	"""left"""	0	False	right
6.690131000010297	-433.3308471679687	"""yellow"""	"""left"""	0	False	right
6.7069050000282	-443.9117431640625	"""yellow"""	"""left"""	0	False	right
6.723475800012238	-463.296240234375	"""yellow"""	"""left"""	0	False	right
6.740168899996206	-473.1959106445312	"""yellow"""	"""left"""	0	False	right
6.756788700004108	-492.3752563476562	"""yellow"""	"""left"""	0	False	right
6.773424800019711	-501.679248046875	"""yellow"""	"""left"""	0	False	right
6.790086799999699	-521.1882568359375	"""yellow"""	"""left"""	0	False	right
6.80680120002944	-530.3589111328125	"""yellow"""	"""left"""	0	False	right
6.823563799960539	-546.678955078125	"""yellow"""	"""left"""	0	False	right
6.84031550004147	-554.607861328125	"""yellow"""	"""left"""	0	False	right
6.856986899976619	-570.4348022460937	"""yellow"""	"""left"""	0	False	right
6.873593500000425	-577.721044921875	"""yellow"""	"""left"""	0	False	right
6.889993399963714	-594.030615234375	"""yellow"""	"""left"""	0	False	right
6.906903399969451	-601.6818603515625	"""yellow"""	"""left"""	0	False	right
6.923441899940372	-617.351953125	"""yellow"""	"""left"""	0	False	right
6.940197999938391	-625.189306640625	"""yellow"""	"""left"""	0	False	right
6.956508600036614	-638.969970703125	"""yellow"""	"""left"""	0	False	right
6.973419799935073	-645.0009521484375	"""yellow"""	"""left"""	0	False	right
6.989985099993646	-657.396826171875	"""yellow"""	"""left"""	0	False	right
7.006704699946567	-664.021142578125	"""yellow"""	"""left"""	0	False	right
7.023473200039007	-675.8805908203125	"""yellow"""	"""left"""	0	False	right
7.040166100021452	-682.3977539062499	"""yellow"""	"""left"""	0	False	right
7.056735699996352	-695.1301025390625	"""yellow"""	"""left"""	0	False	right
7.073398299980909	-701.24765625	"""yellow"""	"""left"""	0	False	right
7.089970099972561	-713.661767578125	"""yellow"""	"""left"""	0	False	right
7.106877699960023	-719.507080078125	"""yellow"""	"""left"""	0	False	right
7.123412600019947	-729.9177978515625	"""yellow"""	"""left"""	0	False	right
7.140085999970324	-734.539013671875	"""yellow"""	"""left"""	0	False	right
7.156768099986948	-742.05029296875	"""yellow"""	"""left"""	0	False	right
7.173431499977596	-745.54365234375	"""yellow"""	"""left"""	0	False	right
7.190021499991417	-751.141552734375	"""yellow"""	"""left"""	0	False	right
7.2067303999792784	-754.065380859375	"""yellow"""	"""left"""	0	False	right
